"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"hc12",181,132,0.113636363636364,0.318578121394032,0,0.0188679245283019,0,0,1,1,2.40717496506425,3.82362994749359,0.0277286663055214
"hc13",182,45,0.111111111111111,0.317820863081864,0,0.027027027027027,0,0,1,1,2.39283796471412,3.81185185185185,0.0473779369679134
"hc14",183,445,0.10561797752809,0.307693962324345,0,0.00840336134453781,0,0,1,1,2.55770875556686,4.55211869677515,0.0145860926875419
"hc15",184,161,0.0993788819875776,0.300103501814361,0,0,0,0,1,1,2.65330318160138,5.07163410309042,0.0236514692728693
"hc16",185,195,0.138461538461538,0.346272778933907,0,0.0509554140127389,0,0,1,1,2.07746285603703,2.32786846581718,0.0247971087469539
"hc17",186,140,0.0928571428571429,0.291274267434451,0,0,0,0,1,1,2.77562928876662,5.74530856376469,0.0246171686415158
"hc18",187,501,0.115768463073852,0.32026685479992,0,0.0199501246882793,0,0,1,1,2.39465684296483,3.74186212642921,0.0143084678446974
"hc19",188,279,0.136200716845878,0.343617932170073,0,0.0488888888888889,0,0,1,1,2.10987442233787,2.46042730796183,0.0205718674964073
"hc20",189,226,0.079646017699115,0.271345386148486,0,0,0,0,1,1,3.08458540510332,7.54812455194974,0.0180496265967886
"hc21",190,125,0.096,0.295776724858029,0,0,0,0,1,1,2.70993601807151,5.38704103834808,0.0264550745177921
"hc22",191,141,0.0638297872340425,0.245320954711718,0,0,0,0,1,1,3.53069559435376,10.5407187919637,0.0206597513288346
"hc23",192,364,0.118131868131868,0.323208474672435,0,0.023972602739726,0,0,1,1,2.35649169768659,3.5628638301697,0.0169407271549567
"hc24",193,527,0.0702087286527514,0.255741213958215,0,0,0,0,1,1,3.35476415004388,9.27204731515995,0.0111402622548091
"hc25",194,426,0.0821596244131455,0.274930635724893,0,0,0,0,1,1,3.0324705614248,7.21282573990586,0.0133204328254564
"hc26",195,449,0.0846325167037862,0.278644536284166,0,0,0,0,1,1,2.97470314118036,6.86416131237227,0.0131500487013772
"hc27",196,289,0.0761245674740484,0.265657331467436,0,0,0,0,1,1,3.1801022256325,8.1412564808036,0.0156269018510256
