"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"rc25",25,425,0.178823529411765,0.383656107574248,0,0.0997067448680352,0,0,1,1,1.67035402236449,0.791962597404766,0.0186100547699054
"rc26",26,449,0.369710467706013,0.48326471219753,0,0.337950138504155,0,0,1,1,0.538004749284458,-1.71435418067496,0.0228066718472228
"rc27",27,289,0.228373702422145,0.420512813750376,0,0.163090128755365,0,0,1,1,1.28741101504658,-0.343726365241374,0.0247360478676692
"rc28",28,123,0.146341463414634,0.35489381531937,0,0.0606060606060606,0,0,1,1,1.97683503509087,1.92371446827128,0.0319996976804748
"rc29",29,177,0.406779661016949,0.492626681946678,0,0.384615384615385,0,0,1,1,0.37632419760511,-1.86884295548473,0.0370280888773433
"rc30",30,79,0.455696202531646,0.501215659465151,0,0.446153846153846,0,0,1,1,0.174547578789306,-1.99429876696862,0.05639116742189
"rc31",31,470,0.708510638297872,0.454932590537866,1,0.76063829787234,0,0,1,1,-0.91471573138307,-1.16576190406305,0.0209844756160304
"rc32",32,509,0.75049115913556,0.433154464116313,1,0.811735941320293,0,0,1,1,-1.15431817405296,-0.668852032388099,0.0191992340723891
"rc33",33,494,0.676113360323887,0.468431714446226,1,0.71969696969697,0,0,1,1,-0.750405449185612,-1.43979393948993,0.0210757392183827
"rc34",34,409,0.295843520782396,0.456980000166615,0,0.246200607902736,0,0,1,1,0.89131830297809,-1.20848850311306,0.0225962067349263
"rc35",35,515,0.467961165048544,0.49945760312723,0,0.460048426150121,0,0,1,1,0.128045397331985,-1.98745220288335,0.0220087316000691
"rc36",36,519,0.71868978805395,0.450072300189031,1,0.772182254196643,0,0,1,1,-0.969926033462786,-1.06127720940899,0.019755981284838
"rc37",37,476,0.451680672268908,0.498183342835029,0,0.43979057591623,0,0,1,1,0.193574583461524,-1.96664726121277,0.0228341960810681
"rc38",38,400,0.385,0.48720470138601,0,0.35625,0,0,1,1,0.470900628313575,-1.78269059035477,0.0243602350693005
"rc39",39,337,0.697329376854599,0.460097027937124,1,0.745387453874539,0,0,1,1,-0.855227561996587,-1.27233490215753,0.0250630821408567
"rc40",40,475,0.650526315789474,0.47730645539851,1,0.687664041994751,0,0,1,1,-0.629404511854492,-1.60722029506294,0.0219003221492811
"rc41",41,403,0.548387096774194,0.498271768471763,1,0.560371517027864,0,0,1,1,-0.193737765575517,-1.96732893109217,0.0248206847249093
"rc42",42,514,0.478599221789883,0.500028442543242,0,0.473300970873786,0,0,1,1,0.0854317100291627,-1.99657446119072,0.022055309116363
"rc43",43,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"rc44",44,412,0.519417475728155,0.500230263752752,1,0.524242424242424,0,0,1,1,-0.0774457178475423,-1.99883604521193,0.0246445762349717
"rc45",45,529,0.741020793950851,0.438488814971,1,0.8,0,0,1,1,-1.09724658814469,-0.797546861207789,0.0190647310856956
"rc46",46,482,0.670124481327801,0.470656180443261,1,0.712435233160622,0,0,1,1,-0.72142482358336,-1.48260927269498,0.0214378015778814
"rc47",47,284,0.549295774647887,0.498442305584325,1,0.56140350877193,0,0,1,1,-0.197102843904897,-1.9680430466171,0.0295771092967666
"rc48",48,346,0.661849710982659,0.473765110836892,1,0.701438848920863,0,0,1,1,-0.681274047244292,-1.54029234937869,0.0254697701494001
"rc49",49,404,0.668316831683168,0.471401625390395,1,0.709876543209877,0,0,1,1,-0.712344620038688,-1.49625036693364,0.023453107439444
"rc50",50,433,0.76905311778291,0.421926006596347,1,0.835734870317003,0,0,1,1,-1.27241148352673,-0.381834863681372,0.0202764698861677
"rc51",51,431,0.670533642691415,0.470565659759195,1,0.71304347826087,0,0,1,1,-0.7231210754897,-1.4805148421282,0.0226663502622329
"rc52",52,444,0.722972972972973,0.44803477492129,1,0.778089887640449,0,0,1,1,-0.993096045419628,-1.01603340159324,0.0212627894495857
"rc53",53,508,0.852362204724409,0.355090247034629,1,0.938725490196078,0,0,1,1,-1.980727892551,1.92708808220157,0.0157545821068177
